Order,Seasonal_Order,Trend,AIC,AICc,BIC,Test_MAE,Test_RMSE,Test_MAPE,k_params,p,d,q,P,D,Q,trend_val
"(2,1,2)","(0,1,1)_12",None,91.97,93.56,100.77,1.9400966787475066e+36,6.75820177061506e+36,2.2966568308946013e+34,6,2,1,2,0,1,1,
"(2,1,2)","(0,1,1)_12",c,93.95,96.1,104.21,3.845882378738794e+36,1.3448998405928086e+37,4.552899549996148e+34,7,2,1,2,0,1,1,c
"(2,1,2)","(1,1,1)_12",None,94.4,96.56,104.66,1.8489500154189355e+36,6.440686917047169e+36,2.188758758104186e+34,7,2,1,2,1,1,1,
"(2,1,2)","(1,1,1)_12",c,96.4,99.23,108.13,3.5498919673247583e+36,1.2413923898775863e+37,4.2024950188287135e+34,8,2,1,2,1,1,1,c
"(2,1,0)","(1,1,0)_12",None,516.84,517.56,522.82,844.23,1048.47,10.32,4,2,1,0,1,1,0,
"(2,1,2)","(1,1,0)_12",None,518.12,519.7,527.1,993.73,1226.3,12.11,6,2,1,2,1,1,0,
"(2,1,1)","(1,1,0)_12",None,518.72,519.83,526.2,843.71,1048.49,10.31,5,2,1,1,1,1,0,
"(2,1,0)","(1,1,0)_12",c,518.74,519.86,526.23,1109.26,1360.9,13.48,5,2,1,0,1,1,0,c
"(2,1,1)","(1,1,0)_12",c,520.64,522.22,529.62,1202.13,1471.63,14.6,6,2,1,1,1,1,0,c
"(2,1,2)","(1,1,0)_12",c,522.57,524.72,533.04,2313.18,2692.21,28.25,7,2,1,2,1,1,0,c
