Periode,Tahun,Bulan,Ramalan_Volume (m³),Batas_Bawah_95% (m³),Batas_Atas_95% (m³),Rentang_Interval (m³)
2023-01,2023,January,8270.19,7288.37,9252.01,1963.64
2023-02,2023,February,8176.16,7076.09,9276.23,2200.14
2023-03,2023,March,8091.0,6902.7,9279.31,2376.61
2023-04,2023,April,8013.88,6757.82,9269.94,2512.12
2023-05,2023,May,7944.03,6635.01,9253.05,2618.04
2023-06,2023,June,7880.77,6529.87,9231.67,2701.8
2023-07,2023,July,7823.48,6439.17,9207.79,2768.62
2023-08,2023,August,7771.59,6360.47,9182.72,2822.25
2023-09,2023,September,7724.6,6291.86,9157.35,2865.49
2023-10,2023,October,7682.05,6231.81,9132.28,2900.47
2023-11,2023,November,7643.5,6179.07,9107.93,2928.86
2023-12,2023,December,7608.6,6132.63,9084.56,2951.93
2024-01,2024,January,7576.98,6091.62,9062.35,2970.73
2024-02,2024,February,7548.35,6055.33,9041.38,2986.05
2024-03,2024,March,7522.42,6023.14,9021.71,2998.57
2024-04,2024,April,7498.94,5994.55,9003.34,3008.79
2024-05,2024,May,7477.67,5969.1,8986.25,3017.15
2024-06,2024,June,7458.41,5946.42,8970.41,3023.99
2024-07,2024,July,7440.97,5926.18,8955.76,3029.58
2024-08,2024,August,7425.17,5908.09,8942.25,3034.16
2024-09,2024,September,7410.86,5891.9,8929.82,3037.92
2024-10,2024,October,7397.9,5877.4,8918.4,3041.0
2024-11,2024,November,7386.17,5864.41,8907.93,3043.52
2024-12,2024,December,7375.54,5852.75,8898.33,3045.58
