Bulan,Rata_2016_2019,Volume_2020,Rata_2021_2022,Deviasi_vs_Pra (m³),Persentase_Deviasi (%)
Januari,5700.0,7229.0,7949.0,1529.0,26.824561403508774
Februari,5280.5,6648.0,7156.0,1367.5,25.897168828709404
Maret,5776.5,7133.0,7890.0,1356.5,23.48307798840128
April,5486.5,6543.0,7644.0,1056.5,19.256356511437165
Mei,5813.5,5219.0,7999.0,-594.5,-10.226197643416187
Juni,5683.75,5580.0,7820.0,-103.75,-1.8253793710138553
Juli,6138.25,6621.0,8222.0,482.75,7.864619394778642
Agustus,5978.75,6740.0,8213.5,761.25,12.73259460589588
September,5722.5,6626.0,7764.0,903.5,15.788553953691567
Oktober,6064.75,7160.0,7736.5,1095.25,18.059276969372192
November,6217.75,6957.0,7834.0,739.25,11.889349041051828
Desember,5958.25,7236.0,7902.0,1277.75,21.44505517559686
