Tahun,Kecamatan,Jumlah_Penduduk_Ribu,Laju_Pertumbuhan_Persen,Status_Data
2016,Total Kabupaten Batang,749.7,0.89,Observasi BPS
2017,Total Kabupaten Batang,756.1,0.85,Observasi BPS
2018,Total Kabupaten Batang,762.4,0.83,Observasi BPS
2019,Total Kabupaten Batang,768.6,0.81,Observasi BPS
2020,Total Kabupaten Batang,801.7,1.24,Observasi BPS
2021,Total Kabupaten Batang,809.42,0.96,Publikasi BPS PDRB
2022,Total Kabupaten Batang,819.29,1.22,Publikasi BPS PDRB
2023,Total Kabupaten Batang,828.88,1.17,Publikasi BPS PDRB
2024,Total Kabupaten Batang,838.19,1.12,Publikasi BPS PDRB
2025,Total Kabupaten Batang,847.18,1.07,Publikasi BPS PDRB
2026,Total Kabupaten Batang,855.8,1.02,Observasi BPS
