Kecamatan,2016,2017,2018,2019,2020,2025,2026
Bandar,67.0,67.5,68.1,68.6,71.7,75.7,76.5
Banyuputih,34.9,35.2,35.5,35.8,36.7,38.5,39.1
Bawang,53.9,54.3,54.8,55.3,55.7,57.9,59.1
Blado,44.7,45.0,45.4,45.8,45.8,47.5,48.5
Gringsing,59.4,59.9,60.4,60.9,63.0,66.4,67.2
Kandeman,47.8,48.2,48.6,48.9,54.6,59.4,59.0
Kecamatan Batang,125.0,125.9,126.8,127.8,133.7,140.9,142.6
Limpung,41.3,41.7,42.1,42.5,43.9,46.4,46.9
Pecalungan,31.9,32.2,32.5,32.8,32.5,33.6,34.4
Reban,37.7,38.1,38.4,38.8,40.3,42.7,43.1
Subah,51.8,52.3,52.8,53.3,53.2,55.3,56.4
Tersono,38.1,38.5,38.9,39.2,40.5,42.8,43.2
Total Kabupaten Batang,749.7,756.1,762.4,768.6,801.7,847.2,855.8
Tulis,35.5,35.8,36.1,36.4,38.8,41.4,41.6
Warungasem,48.1,48.5,48.9,49.2,53.5,57.4,57.4
Wonotunggal,32.7,33.0,33.2,33.5,37.8,41.4,40.9
