Kecamatan,2016,2017,2018,2019,2020,2025,2026
Bandar,0.6,0.81,0.79,0.76,1.21,1.05,1.1
Banyuputih,1.24,0.89,0.87,0.82,1.1,0.94,1.42
Bawang,1.03,0.87,0.86,0.83,0.91,0.74,2.01
Blado,0.82,0.84,0.83,0.78,0.82,0.66,2.28
Gringsing,1.11,0.87,0.84,0.8,1.17,1.01,1.21
Kandeman,0.38,0.77,0.77,0.7,1.82,1.66,-0.72
Kecamatan Batang,0.29,0.75,0.73,0.77,1.17,1.01,1.21
Limpung,1.51,0.95,0.97,0.88,1.23,1.07,1.04
Pecalungan,1.28,0.9,0.91,0.86,0.8,0.63,2.35
Reban,1.44,0.94,0.88,0.93,1.28,1.11,0.9
Subah,1.59,0.95,0.92,0.87,0.89,0.73,2.06
Tersono,1.81,1.0,0.99,0.95,1.26,1.09,0.96
Total Kabupaten Batang,0.89,0.85,0.83,0.81,1.24,1.07,1.02
Tulis,0.97,0.89,0.88,0.85,1.45,1.29,0.38
Warungasem,0.21,0.75,0.72,0.7,1.54,1.37,0.13
Wonotunggal,0.65,0.8,0.79,0.76,1.96,1.8,-1.13
