Tahun,Kecamatan,Jumlah_Penduduk_Ribu,Laju_Pertumbuhan_Persen,Persentase_Penduduk,Kepadatan_Jiwa_Km2,Rasio_Jenis_Kelamin
2016,Wonotunggal,32.7,0.65,4.36,41.0,100.5
2016,Bandar,67.0,0.6,8.93,85.0,101.0
2016,Blado,44.7,0.82,5.96,57.0,101.6
2016,Reban,37.7,1.44,5.03,48.0,99.6
2016,Bawang,53.9,1.03,7.18,68.0,101.1
2016,Tersono,38.1,1.81,5.08,48.0,99.9
2016,Gringsing,59.4,1.11,7.92,75.0,101.5
2016,Limpung,41.3,1.51,5.51,52.0,99.2
2016,Banyuputih,34.9,1.24,4.65,44.0,99.2
2016,Subah,51.8,1.59,6.91,66.0,97.6
2016,Pecalungan,31.9,1.28,4.26,40.0,97.1
2016,Tulis,35.5,0.97,4.73,45.0,98.4
2016,Kandeman,47.8,0.38,6.38,61.0,98.4
2016,Kecamatan Batang,125.0,0.29,16.67,158.0,99.3
2016,Warungasem,48.1,0.21,6.42,61.0,100.6
2016,Total Kabupaten Batang,749.7,0.89,100.0,951.0,99.7
2017,Wonotunggal,33.0,0.8,4.36,42.0,100.5
2017,Bandar,67.5,0.81,8.93,86.0,100.9
2017,Blado,45.0,0.84,5.96,57.0,101.6
2017,Reban,38.1,0.94,5.03,48.0,99.6
2017,Bawang,54.3,0.87,7.19,69.0,101.1
2017,Tersono,38.5,1.0,5.09,49.0,99.9
2017,Gringsing,59.9,0.87,7.92,76.0,101.4
2017,Limpung,41.7,0.95,5.51,53.0,99.2
2017,Banyuputih,35.2,0.89,4.66,45.0,99.2
2017,Subah,52.3,0.95,6.92,66.0,97.5
2017,Pecalungan,32.2,0.9,4.26,41.0,97.0
2017,Tulis,35.8,0.89,4.73,45.0,98.3
2017,Kandeman,48.2,0.77,6.37,61.0,98.3
2017,Kecamatan Batang,125.9,0.75,16.66,160.0,99.4
2017,Warungasem,48.5,0.75,6.41,62.0,100.6
2017,Total Kabupaten Batang,756.1,0.85,100.0,959.0,99.7
2018,Wonotunggal,33.2,0.79,4.36,42.0,100.5
2018,Bandar,68.1,0.79,8.93,86.0,100.9
2018,Blado,45.4,0.83,5.96,58.0,101.6
2018,Reban,38.4,0.88,5.04,49.0,99.5
2018,Bawang,54.8,0.86,7.19,69.0,101.0
2018,Tersono,38.9,0.99,5.1,49.0,99.8
2018,Gringsing,60.4,0.84,7.92,77.0,101.4
2018,Limpung,42.1,0.97,5.52,53.0,99.1
2018,Banyuputih,35.5,0.87,4.66,45.0,99.1
2018,Subah,52.8,0.92,6.93,67.0,97.5
2018,Pecalungan,32.5,0.91,4.26,41.0,97.0
2018,Tulis,36.1,0.88,4.74,46.0,98.3
2018,Kandeman,48.6,0.77,6.37,62.0,98.3
2018,Kecamatan Batang,126.8,0.73,16.64,161.0,99.4
2018,Warungasem,48.9,0.72,6.41,62.0,100.5
2018,Total Kabupaten Batang,762.4,0.83,100.0,967.0,99.7
2019,Wonotunggal,33.5,0.76,4.36,640.0,100.5
2019,Bandar,68.6,0.76,8.92,935.0,101.0
2019,Blado,45.8,0.78,5.95,584.0,101.6
2019,Reban,38.8,0.93,5.04,836.0,99.6
2019,Bawang,55.3,0.83,7.19,748.0,101.0
2019,Tersono,39.2,0.95,5.1,795.0,99.8
2019,Gringsing,60.9,0.8,7.92,837.0,101.4
2019,Limpung,42.5,0.88,5.52,1271.0,99.1
2019,Banyuputih,35.8,0.82,4.66,806.0,99.2
2019,Subah,53.3,0.87,6.93,638.0,97.5
2019,Pecalungan,32.8,0.86,4.26,905.0,97.0
2019,Tulis,36.4,0.85,4.74,808.0,98.3
2019,Kandeman,48.9,0.7,6.36,1171.0,98.3
2019,Kecamatan Batang,127.8,0.77,16.63,3721.0,99.3
2019,Warungasem,49.2,0.7,6.4,2089.0,100.6
2019,Total Kabupaten Batang,768.6,0.81,100.0,975.0,99.7
2020,Wonotunggal,37.8,1.96,4.71,722.0,101.9
2020,Bandar,71.7,1.21,8.94,978.0,103.2
2020,Blado,45.8,0.82,5.72,585.0,104.0
2020,Reban,40.3,1.28,5.03,870.0,100.8
2020,Bawang,55.7,0.91,6.94,754.0,104.3
2020,Tersono,40.5,1.26,5.05,821.0,101.8
